Party,Name,Handle,AvatarURL
Democrat,US Rep. Darren Soto,RepDarrenSoto,https://pbs.twimg.com/profile_images/824454906446745601/DtndIYe0_bigger.jpg
Democrat,Rep. Jacky Rosen,RepJackyRosen,https://pbs.twimg.com/profile_images/837772241077170177/VOpyOjAj_bigger.jpg
Democrat,US Rep. Al Lawson Jr,RepAlLawsonJr,https://pbs.twimg.com/profile_images/818493713991213056/U3FMB3nB_bigger.jpg
Democrat,Adriano Espaillat,RepEspaillat,https://pbs.twimg.com/profile_images/827580972442988545/RJ5H4gCN_bigger.jpg
Democrat,US Rep. Darren Soto,RepDarrenSoto,https://pbs.twimg.com/profile_images/824454906446745601/DtndIYe0_normal.jpg
Democrat,Rep. Jacky Rosen,RepJackyRosen,https://pbs.twimg.com/profile_images/837772241077170177/VOpyOjAj_normal.jpg
Democrat,US Rep. Al Lawson Jr,RepAlLawsonJr,https://pbs.twimg.com/profile_images/818493713991213056/U3FMB3nB_normal.jpg
Democrat,Adriano Espaillat,RepEspaillat,https://pbs.twimg.com/profile_images/827580972442988545/RJ5H4gCN_normal.jpg
Democrat,Rep. Blunt Rochester,RepBRochester,https://pbs.twimg.com/profile_images/912673706601672705/Ttjyw2Uv_normal.jpg
Democrat,Nanette D. Barragán,RepBarragan,https://pbs.twimg.com/profile_images/978337845428420610/dYCHO_Ml_normal.jpg
Democrat,Tom Suozzi,RepTomSuozzi,https://pbs.twimg.com/profile_images/841322504752943107/hbNrycrY_normal.jpg
Democrat,Rep. Ro Khanna,RepRoKhanna,https://pbs.twimg.com/profile_images/980828338699849728/zwXDcKXp_normal.jpg
Democrat,Rep. Ruben J. Kihuen,RepKihuen,https://pbs.twimg.com/profile_images/953714217236029442/3q3n22G-_normal.jpg
Democrat,Rep. Donald McEachin,RepMcEachin,https://pbs.twimg.com/profile_images/948252111514546176/9UnTWRH__normal.jpg
Democrat,Rep. Salud Carbajal,RepCarbajal,https://pbs.twimg.com/profile_images/995074405402382337/UkFKFk0c_normal.jpg
Democrat,Rep. Charlie Crist,RepCharlieCrist,https://pbs.twimg.com/profile_images/821404691007471616/coBO0h0x_normal.jpg
Democrat,Rep. Lou Correa,RepLouCorrea,https://pbs.twimg.com/profile_images/958720189897625601/c-SpjpEc_normal.jpg
Democrat,Rep. Pramila Jayapal,RepJayapal,https://pbs.twimg.com/profile_images/978268908057751552/LdIDc0tc_normal.jpg
Democrat,Rep Josh Gottheimer,RepJoshG,https://pbs.twimg.com/profile_images/824380405482668042/TGcE_Hz0_normal.jpg
Democrat,Raja Krishnamoorthi,CongressmanRaja,https://pbs.twimg.com/profile_images/817454739910750209/-LvcQa9a_normal.jpg
Democrat,Rep. Tom O'Halleran,RepOHalleran,https://pbs.twimg.com/profile_images/831523103968739328/fTs-Kf2a_normal.jpg
Democrat,Rep. Jamie Raskin,RepRaskin,https://pbs.twimg.com/profile_images/978260612999413760/0quhrwfH_normal.jpg
Democrat,Rep. Val Demings,RepValDemings,https://pbs.twimg.com/profile_images/992390788037464064/92H4Urvz_normal.jpg
Democrat,Rep. Jimmy Panetta,RepJimmyPanetta,https://pbs.twimg.com/profile_images/827208718618132481/Z6uQa-l__normal.jpg
Republican,Debbie Lesko,RepDLesko,https://pbs.twimg.com/profile_images/996810968347889665/4u5vgPiR_bigger.jpg
Republican,Ralph Norman,RepRalphNorman,https://pbs.twimg.com/profile_images/886594415904608258/VyYZc8Uk_bigger.jpg
Republican,Rep. Tom Garrett,RepTomGarrett,https://pbs.twimg.com/profile_images/910308763898466304/uNk5CsOD_bigger.jpg
